id,title,genres,averageRating,numVotes,releaseYear
tt0252597,"Feyzo, the Polite One","Comedy, Drama",8.7,17636,1978
tt6019206,"Kill Bill: The Whole Bloody Affair","Action, Crime, Thriller",8.7,17448,2006
tt0076276,"Who's Singin' Over There?","Adventure, Comedy, Drama",8.7,16914,1980
tt7738784,Peranbu,"Drama, Family",8.7,16847,2018
tt0201368,"The Broken Landlord","Comedy, Drama",8.7,16668,1985
tt17592606,Daman,"Adventure, Drama",8.7,13783,2022
tt0214915,Manichithrathazhu,"Comedy, Horror, Mystery",8.7,12898,1993
tt8737152,Toma,"Biography, Drama, Music",8.7,12659,2021
tt0765833,"Happy Days","Comedy, Drama, Family",8.7,12152,1978
tt0090015,Shoah,"Documentary, History, War",8.7,10778,1985
tt0114369,Se7en,"Crime, Drama, Mystery",8.6,1844866,1995
tt0102926,"The Silence of the Lambs","Crime, Drama, Thriller",8.6,1585002,1991
tt0120815,"Saving Private Ryan","Drama, War",8.6,1527379,1998
tt0076759,"Star Wars: Episode IV - A New Hope","Action, Adventure, Fantasy",8.6,1475294,1977
tt0120689,"The Green Mile","Crime, Drama, Fantasy",8.6,1440233,1999
tt0103064,"Terminator 2: Judgment Day","Action, Adventure, Sci-Fi",8.6,1199025,1991
tt0245429,"Spirited Away","Adventure, Animation, Family",8.6,875462,2001
tt0317248,"City of God","Crime, Drama",8.6,816226,2002
tt0118799,"Life Is Beautiful","Comedy, Drama, Romance",8.6,757007,1997
tt10811166,"The Kashmir Files",Drama,8.6,575282,2022
tt0038650,"It's a Wonderful Life","Drama, Family, Fantasy",8.6,507536,1946
tt9362722,"Spider-Man: Across the Spider-Verse","Action, Adventure, Animation",8.6,409492,2023
tt0047478,"Seven Samurai","Action, Drama",8.6,373625,1954
tt0056058,Harakiri,"Action, Drama, Mystery",8.6,72553,1962
tt27719898,Kaiva,"Action, Drama, Romance",8.6,68919,2023
tt0367495,"Anbe Sivam","Adventure, Comedy, Drama",8.6,26046,2003
tt0358456,Earthlings,Documentary,8.6,19967,2005
tt0252489,"The Chaos Class Is on Vacation",Comedy,8.6,19128,1977
tt0116860,"Pretty Village, Pretty Flame","Drama, History, War",8.6,18037,1996
tt0271383,"A Dog's Will","Comedy, Drama, Fantasy",8.6,17516,2000
tt4139928,"The Legend of Maula Jatt","Action, Drama, Fantasy",8.6,10849,2022
tt0267351,"My Dear Brother",Drama,8.6,10476,1973
tt1853728,"Django Unchained","Comedy, Drama, Western",8.5,1735578,2012
tt0172495,Gladiator,"Action, Adventure, Drama",8.5,1665878,2000
tt0482571,"The Prestige","Drama, Mystery, Sci-Fi",8.5,1472193,2006
tt0407887,"The Departed","Crime, Drama, Thriller",8.5,1449409,2006
tt0088763,"Back to the Future","Adventure, Comedy, Sci-Fi",8.5,1338417,1985
tt0110413,"Léon: The Professional","Action, Crime, Drama",8.5,1270657,1994
tt0120586,"American History X","Crime, Drama",8.5,1205914,1998
tt0110357,"The Lion King","Adventure, Animation, Drama",8.5,1167795,1994
tt0114814,"The Usual Suspects","Crime, Drama, Mystery",8.5,1163667,1995
tt2582802,Whiplash,"Drama, Music",8.5,1024479,2014
tt6751668,Parasite,"Drama, Thriller",8.5,1001204,2019
tt0078748,Alien,"Horror, Sci-Fi",8.5,985950,1979
tt1675434,"The Intouchables","Comedy, Drama",8.5,949440,2011
tt0253474,"The Pianist","Biography, Drama, Music",8.5,935420,2002
tt0054215,Psycho,"Horror, Mystery, Thriller",8.5,733368,1960
tt0034583,Casablanca,"Drama, Romance, War",8.5,616064,1942
tt0047396,"Rear Window","Mystery, Thriller",8.5,532569,1954
tt15239678,"Dune: Part Two","Action, Adventure, Drama",8.5,532479,2024
tt0064116,"Once Upon a Time in the West","Drama, Western",8.5,355018,1968
tt0095327,"Grave of the Fireflies","Animation, Drama, War",8.5,325178,1988
tt0095765,"Cinema Paradiso","Drama, Romance",8.5,289644,1988
tt0027977,"Modern Times","Comedy, Drama, Romance",8.5,264487,1936
tt0021749,"City Lights","Comedy, Drama, Romance",8.5,199853,1931
tt1424432,Senna,"Biography, Documentary, Sport",8.5,77895,2010
tt20850406,"Sita Ramam","Action, Drama, Mystery",8.5,71757,2022
tt26548265,Maharaja,"Action, Crime, Drama",8.5,50596,2024
tt1152758,"Dear Zachary: A Letter to a Son About His Father","Biography, Crime, Documentary",8.5,41769,2008
tt0103767,Baraka,Documentary,8.5,41463,1992
tt7019842,96,"Drama, Romance",8.5,38966,2018
tt11580854,"Sarpatta Parambarai","Action, Drama, Sport",8.5,26116,2021
tt0346336,"The Best of Youth","Drama, Romance",8.5,23580,2003
tt8948790,Jersey,"Drama, Sport",8.5,23472,2019
tt0058625,"Woman in the Dunes","Drama, Thriller",8.5,23393,1964
tt24082438,"20 Days in Mariupol","Documentary, War",8.5,23301,2023
tt1014762,Home,"Documentary, Family",8.5,23146,2009
tt0253997,"The King of the Street Cleaners","Comedy, Romance",8.5,21763,1977
tt0054407,"The Hole","Crime, Drama, Thriller",8.5,21040,1960
tt0079221,"Gol Maal","Comedy, Romance",8.5,20371,1979
tt8413338,"Kumbalangi Nights","Comedy, Drama, Romance",8.5,18861,2019
tt0263975,"The Girl with the Red Scarf","Drama, Romance",8.5,17206,1977
tt0101649,Thalapathi,"Action, Crime, Drama",8.5,13680,1991
tt9617456,"For Sama","Biography, Documentary, War",8.5,13065,2019
tt0253991,Zübük,Comedy,8.5,11423,1980
tt1345836,"The Dark Knight Rises","Action, Drama, Thriller",8.4,1865229,2012
tt0361748,"Inglourious Basterds","Adventure, Drama, War",8.4,1624063,2009
tt7286456,Joker,"Crime, Drama, Thriller",8.4,1551337,2019
tt0209144,Memento,"Mystery, Thriller",8.4,1346224,2000
tt4154796,"Avengers: Endgame","Action, Adventure, Drama",8.4,1305969,2019
tt4154756,"Avengers: Infinity War","Action, Adventure, Sci-Fi",8.4,1239738,2018
tt0910970,WALL·E,"Adventure, Animation, Family",8.4,1226556,2008
tt0081505,"The Shining","Drama, Horror",8.4,1133542,1980
tt0082971,"Raiders of the Lost Ark","Action, Adventure",8.4,1052079,1981
tt0090605,Aliens,"Action, Adventure, Sci-Fi",8.4,788138,1986
tt0078788,"Apocalypse Now","Drama, Mystery, War",8.4,723218,1979
tt4633694,"Spider-Man: Into the Spider-Verse","Action, Adventure, Animation",8.4,696974,2018
tt2380307,Coco,"Adventure, Animation, Drama",8.4,616751,2017
tt1187043,"3 Idiots","Comedy, Drama",8.4,444976,2009
tt0086879,Amadeus,"Biography, Drama, Music",8.4,436359,1984
tt0405094,"The Lives of Others","Drama, Mystery, Thriller",8.4,417045,2006
tt5311514,"Your Name.","Animation, Drama, Fantasy",8.4,336167,2016
tt0082096,"Das Boot","Drama, War",8.4,268808,1981
tt0032553,"The Great Dictator","Comedy, Drama, War",8.4,241590,1940
tt0043014,"Sunset Boulevard","Drama, Film-Noir",8.4,241195,1950
tt0050825,"Paths of Glory","Drama, War",8.4,217988,1957
tt0051201,"Witness for the Prosecution","Crime, Drama, Mystery",8.4,141851,1957
tt8267604,Capernaum,Drama,8.4,109963,2018
tt0091251,"Come and See","Drama, Thriller, War",8.4,102675,1985
tt0057565,"High and Low","Crime, Drama, Mystery",8.4,55820,1963
tt1313104,"The Cove","Biography, Crime, Documentary",8.4,51827,2009
tt9900782,Kaithi,"Action, Crime, Drama",8.4,44374,2019
tt21626284,"Laapataa Ladies","Comedy, Drama",8.4,43575,2023
tt12361178,"Drishyam 2","Crime, Drama, Thriller",8.4,41872,2021
tt29623480,"The Wild Robot","Animation, Sci-Fi",8.4,39391,2024
tt0770802,Samsara,"Documentary, Music",8.4,38525,2011
tt9477520,Asuran,"Action, Drama",8.4,34503,2019
tt3674140,"The Salt of the Earth","Biography, Documentary, History",8.4,23939,2014
tt0416960,"The Lizard","Comedy, Drama",8.4,22950,2004
tt0400234,"Black Friday","Action, Crime, Drama",8.4,22318,2004
tt4987556,"Thani Oruvan","Action, Crime, Thriller",8.4,22068,2015
tt5959980,"Vada Chennai","Action, Crime, Drama",8.4,20470,2018
tt0047445,"Sansho the Bailiff",Drama,8.4,18616,1954
tt0052572,"The World of Apu",Drama,8.4,17170,1959
tt7465992,Mahanati,"Biography, Drama",8.4,15219,2018
tt0059550,"Operation 'Y' & Other Shurik's Adventures","Comedy, Crime, Drama",8.4,15160,1965
tt0073000,"The Pinchcliffe Grand Prix","Animation, Comedy, Family",8.4,14498,1975
tt0314067,Philanthropy,"Comedy, Drama",8.4,13999,2002
tt0252591,"King of the Doormen",Comedy,8.4,13912,1976
tt4991384,Visaaranai,"Crime, Drama, Thriller",8.4,12465,2015
tt0184756,"Mr. Muhsin","Comedy, Drama, Music",8.4,12003,1987
tt12415546,"Attack on Titan: Chronicle","Action, Adventure, Animation",8.4,11985,2020
tt0383846,"When I Grow Up, I'll Be a Kangaroo",Comedy,8.4,11716,2004
tt0169547,"American Beauty",Drama,8.3,1227488,1999
tt1049413,Up,"Adventure, Animation, Comedy",8.3,1150134,2009
tt0086190,"Star Wars: Episode VI - Return of the Jedi","Action, Adventure, Fantasy",8.3,1140740,1983
tt0105236,"Reservoir Dogs","Crime, Thriller",8.3,1108686,1992
tt0112573,Braveheart,"Biography, Drama, War",8.3,1107609,1995
tt0338013,"Eternal Sunshine of the Spotless Mind","Drama, Romance, Sci-Fi",8.3,1100682,2004
tt0119217,"Good Will Hunting","Drama, Romance",8.3,1098222,1997
tt0114709,"Toy Story","Adventure, Animation, Comedy",8.3,1091247,1995
tt0086250,Scarface,"Crime, Drama",8.3,937345,1983
tt0180093,"Requiem for a Dream",Drama,8.3,916703,2000
tt0435761,"Toy Story 3","Adventure, Animation, Comedy",8.3,908963,2010
tt15398776,Oppenheimer,"Biography, Drama, History",8.3,807568,2023
tt0211915,Amélie,"Comedy, Romance",8.3,805132,2001
tt0113277,Heat,"Action, Crime, Drama",8.3,734403,1995
tt0062622,"2001: A Space Odyssey","Adventure, Sci-Fi",8.3,733625,1968
tt0364569,Oldboy,"Action, Drama, Mystery",8.3,653703,2003
tt0057012,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Comedy, War",8.3,526975,1964
tt0033467,"Citizen Kane","Drama, Mystery",8.3,472363,1941
tt0119698,"Princess Mononoke","Action, Adventure, Animation",8.3,444856,1997
tt0052357,Vertigo,"Mystery, Romance, Thriller",8.3,435522,1958
tt0087843,"Once Upon a Time in America","Crime, Drama",8.3,384558,1984
tt2106476,"The Hunt",Drama,8.3,373913,2012
tt0053125,"North by Northwest","Action, Adventure, Mystery",8.3,351696,1959
tt0056592,"To Kill a Mockingbird","Crime, Drama",8.3,337554,1962
tt0056172,"Lawrence of Arabia","Adventure, Biography, Drama",8.3,320975,1962
tt0070735,"The Sting","Comedy, Crime, Drama",8.3,284071,1973
tt0045152,"Singin' in the Rain","Comedy, Musical, Romance",8.3,265767,1952
tt1832382,"A Separation",Drama,8.3,262767,2011
tt5074352,Dangal,"Action, Biography, Drama",8.3,217146,2016
tt1255953,Incendies,"Drama, Mystery, War",8.3,211760,2010
tt0986264,"Like Stars on Earth","Drama, Family",8.3,211213,2007
tt0053604,"The Apartment","Comedy, Drama, Romance",8.3,201152,1960
tt0017136,Metropolis,"Drama, Sci-Fi",8.3,189037,1927
tt0040522,"Bicycle Thieves",Drama,8.3,178743,1948
tt0022100,M,"Crime, Mystery, Thriller",8.3,171768,1931
tt0036775,"Double Indemnity","Crime, Drama, Film-Noir",8.3,170379,1944
tt8110330,"Dil Bechara","Comedy, Drama, Romance",8.3,135523,2020
tt10295212,Shershaah,"Action, Biography, Drama",8.3,131022,2021
tt8503618,Hamilton,"Biography, Drama, History",8.3,118944,2020
tt0044741,Ikiru,Drama,8.3,90382,1952
tt0055031,"Judgment at Nuremberg","Drama, War",8.3,87455,1961
tt9179430,Vikram,"Action, Crime, Drama",8.3,77478,2022
tt9052870,Chhichhore,"Comedy, Drama, Romance",8.3,65761,2019
tt7060344,Raatchasan,"Action, Crime, Drama",8.3,52120,2018
tt10280296,"Sardar Udham","Biography, Crime, Drama",8.3,48161,2021
tt3417422,Drishyam,"Crime, Drama, Thriller",8.3,44901,2013
tt0019760,"Man with a Movie Camera",Documentary,8.3,28546,1929
tt0110057,"Hoop Dreams","Documentary, Drama, Sport",8.3,28378,1994
tt7681902,"Won't You Be My Neighbor?","Biography, Documentary, History",8.3,27397,2018
tt4679210,Premam,"Comedy, Drama, Romance",8.3,24682,2015
tt3668162,"Bangalore Days","Comedy, Drama, Romance",8.3,23436,2014
tt0376127,Anniyan,"Action, Crime, Drama",8.3,22321,2005
tt0058888,"Red Beard",Drama,8.3,21683,1965
tt0037674,"Children of Paradise","Drama, Romance",8.3,21492,1945
tt9098872,"The Rescue","Action, Documentary, Mystery",8.3,21368,2021
tt0110081,"To Live","Drama, War",8.3,20931,1994
tt4908644,"Winter on Fire: Ukraine's Fight for Freedom","Documentary, History, War",8.3,20835,2015
tt0050634,"The Cranes Are Flying","Drama, Romance, War",8.3,20348,1957
tt13391710,"Jana Gana Mana","Crime, Drama, Thriller",8.3,18063,2022
tt10214826,"Agent Sai Srinivasa Athreya","Comedy, Crime, Mystery",8.3,17390,2019
tt0195231,Satya,"Action, Crime, Drama",8.3,17136,1998
tt0062759,"The Diamond Arm","Adventure, Comedy, Crime",8.3,16598,1969
tt5312232,Sairat,"Drama, Romance",8.3,15068,2016
tt0085743,"Jaane Bhi Do Yaaro","Comedy, Crime, Drama",8.3,14923,1983
tt5867800,Aruvi,Drama,8.3,14565,2016
tt0061847,"Samurai Rebellion",Drama,8.3,14453,1967
tt3521134,"The Look of Silence","Biography, Documentary, History",8.3,14097,2014
tt0060584,"Kidnapping, Caucasian Style","Adventure, Comedy, Drama",8.3,13863,1967
tt2358592,Lucia,"Drama, Sci-Fi, Thriller",8.3,13487,2013
tt9006564,2018,"Action, Drama, Thriller",8.3,13404,2023
tt0072783,"Chupke Chupke","Comedy, Drama, Romance",8.3,13388,1975
tt0068519,"Gentlemen of Fortune","Comedy, Crime, Drama",8.3,13176,1971
tt0252619,"From the Village to the City",Comedy,8.3,12081,1974
tt2877108,"Soodhu Kavvum","Comedy, Crime, Thriller",8.3,12055,2013
tt0139876,Baasha,"Action, Crime, Drama",8.3,11772,1995
tt18568902,"Kaun Pravin Tambe?","Biography, Drama, Sport",8.3,11317,2022
tt8652818,"Violet Evergarden: The Movie","Animation, Drama, Fantasy",8.3,11063,2020
tt0179955,"Cat City","Adventure, Animation, Comedy",8.3,10946,1986
tt4851630,"Maheshinte Prathikaaram","Comedy, Drama, Thriller",8.3,10749,2016
tt0301634,"Frozen Stiff","Comedy, Drama",8.3,10300,2002
tt0993846,"The Wolf of Wall Street","Biography, Comedy, Crime",8.2,1627553,2013
tt0372784,"Batman Begins","Action, Crime, Drama",8.2,1608703,2005
tt1130884,"Shutter Island","Drama, Mystery, Thriller",8.2,1497943,2010
tt0120382,"The Truman Show","Comedy, Drama",8.2,1232320,1998
tt0266697,"Kill Bill: Vol. 1","Action, Crime, Thriller",8.2,1219884,2003
tt0266543,"Finding Nemo","Adventure, Animation, Comedy",8.2,1133601,2003
tt0107290,"Jurassic Park","Action, Adventure, Sci-Fi",8.2,1090143,1993
tt0477348,"No Country for Old Men","Crime, Drama, Thriller",8.2,1086882,2007
tt0167404,"The Sixth Sense","Drama, Mystery, Thriller",8.2,1073588,1999
tt0268978,"A Beautiful Mind","Biography, Drama, Mystery",8.2,1002470,2001
tt0095016,"Die Hard","Action, Thriller",8.2,961392,1988
tt0075314,"Taxi Driver","Crime, Drama",8.2,946441,1976
tt0208092,Snatch,"Comedy, Crime",8.2,925668,2000
tt10872600,"Spider-Man: No Way Home","Action, Adventure, Fantasy",8.2,911025,2021
tt0066921,"A Clockwork Orange","Crime, Sci-Fi",8.2,894667,1971
tt1392214,Prisoners,"Crime, Drama, Mystery",8.2,836158,2013
tt0097576,"Indiana Jones and the Last Crusade","Action, Adventure",8.2,822785,1989
tt0093058,"Full Metal Jacket","Drama, War",8.2,804619,1987
tt1745960,"Top Gun: Maverick","Action, Drama",8.2,735945,2022
tt0457430,"Pan's Labyrinth","Drama, Fantasy, War",8.2,712286,2006
tt8579674,1917,"Action, Drama, History",8.2,699619,2019
tt0469494,"There Will Be Blood",Drama,8.2,653296,2007
tt0119488,"L.A. Confidential","Crime, Drama, Mystery",8.2,628899,1997
tt6966692,"Green Book","Biography, Comedy, Drama",8.2,599605,2018
tt0071853,"Monty Python and the Holy Grail","Adventure, Comedy, Fantasy",8.2,577931,1975
tt0112641,Casino,"Crime, Drama",8.2,575862,1995
tt0084787,"The Thing","Horror, Mystery, Sci-Fi",8.2,480618,1982
tt0347149,"Howl's Moving Castle","Adventure, Animation, Family",8.2,464673,2004
tt0105695,Unforgiven,"Drama, Western",8.2,443140,1992
tt0363163,Downfall,"Biography, Drama, History",8.2,380646,2004
tt0031381,"Gone with the Wind","Drama, Romance, War",8.2,339184,1939
tt0053291,"Some Like It Hot","Comedy, Music, Romance",8.2,287954,1959
tt0059578,"For a Few Dollars More","Drama, Western",8.2,280560,1965
tt0080678,"The Elephant Man","Biography, Drama",8.2,262953,1980
tt0057115,"The Great Escape","Adventure, Drama, Thriller",8.2,262779,1963
tt1305806,"The Secret in Their Eyes","Drama, Mystery, Romance",8.2,226373,2009
tt10272386,"The Father","Drama, Mystery",8.2,201739,2020
tt4729430,Klaus,"Adventure, Animation, Comedy",8.2,195871,2019
tt0046912,"Dial M for Murder","Crime, Thriller",8.2,192745,1954
tt0042876,Rashomon,"Crime, Drama, Mystery",8.2,184278,1950
tt10698680,"K.G.F: Chapter 2","Action, Crime, Drama",8.2,153771,2022
tt0042192,"All About Eve",Drama,8.2,141010,1950
tt0089881,Ran,"Action, Drama, War",8.2,139064,1985
tt0012349,"The Kid","Comedy, Drama, Family",8.2,137402,1921
tt0040897,"The Treasure of the Sierra Madre","Adventure, Drama, Western",8.2,134340,1948
tt0055630,Yojimbo,"Action, Drama, Thriller",8.2,133932,1961
tt4849438,"Baahubali 2: The Conclusion","Action, Drama",8.2,118329,2017
tt5813916,"The Mountain II","Action, Drama, War",8.2,110871,2016
tt1954470,"Gangs of Wasseypur","Action, Comedy, Crime",8.2,105780,2012
tt8108198,Andhadhun,"Crime, Mystery, Thriller",8.2,105621,2018
tt15327088,Kantara,"Action, Adventure, Drama",8.2,105207,2022
tt7838252,"K.G.F: Chapter 1","Action, Crime, Drama",8.2,101176,2018
tt0367110,Swades,"Drama, Musical",8.2,99923,2004
tt4430212,Drishyam,"Crime, Drama, Mystery",8.2,98031,2015
tt0476735,"My Father and My Son","Drama, Family",8.2,94618,2005
tt1562872,"Zindagi Na Milegi Dobara","Comedy, Drama, Musical",8.2,88051,2011
tt0118849,"Children of Heaven","Drama, Family, Sport",8.2,82692,1997
tt1645089,"Inside Job","Crime, Documentary",8.2,80098,2010
tt11032374,"Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train","Action, Adventure, Animation",8.2,78099,2020
tt0242519,"Hera Pheri","Action, Comedy, Crime",8.2,74056,2000
tt8291224,"Uri: The Surgical Strike","Action, Drama, History",8.2,74003,2019
tt2125608,"Searching for Sugar Man","Biography, Documentary, Music",8.2,73743,2012
tt2356180,"Bhaag Milkha Bhaag","Biography, Drama, Sport",8.2,73342,2013
tt8239946,Tumbbad,"Drama, Fantasy, Horror",8.2,64841,2018
tt0015324,"Sherlock Jr.","Action, Comedy, Romance",8.2,58853,1924
tt10431500,"Miracle in Cell No. 7",Drama,8.2,57250,2019
tt6148156,"Vikram Vedha","Action, Crime, Drama",8.2,51659,2017
tt15501640,"Drishyam 2","Crime, Drama, Mystery",8.2,46657,2022
tt20256528,"What Is a Woman?",Documentary,8.2,44700,2022
tt6316138,"Ayla: The Daughter of War","Biography, Drama, History",8.2,44678,2017
tt0085809,Koyaanisqatsi,"Documentary, Music",8.2,42424,1982
tt2375605,"The Act of Killing","Biography, Crime, Documentary",8.2,41457,2012
tt0048473,"Pather Panchali",Drama,8.2,39292,1955
tt7905466,"They Shall Not Grow Old","Documentary, History, War",8.2,39015,2018
tt1620933,"Paan Singh Tomar","Action, Biography, Crime",8.2,38368,2012
tt4573394,"Endless Corridor","Documentary, History",8.2,38299,2014
tt5895028,13th,"Crime, Documentary, History",8.2,38066,2016
tt0071411,"Dersu Uzala","Adventure, Biography, Drama",8.2,34187,1975
tt5929776,"The First Born","Documentary, News",8.2,29096,2016
tt0045274,"Umberto D.",Drama,8.2,28779,1952
tt7392212,Rangasthalam,"Action, Drama",8.2,28356,2018
tt4983780,Maanaadu,"Action, Adventure, Sci-Fi",8.2,25819,2021
tt0049902,"A Man Escaped","Drama, Thriller, War",8.2,25717,1956
tt0466460,"Khosla Ka Ghosla!","Comedy, Crime, Drama",8.2,25369,2006
tt0100234,Close-Up,"Biography, Crime, Drama",8.2,23940,1990
tt26458038,"Manjummel Boys","Adventure, Drama, Thriller",8.2,22500,2024
tt0042804,"The Young and the Damned","Crime, Drama",8.2,22402,1950
tt0054248,"Rocco and His Brothers","Crime, Drama, Sport",8.2,22077,1960
tt0041154,"Late Spring","Comedy, Drama",8.2,19846,1949
tt0070233,"Ivan Vasilyevich Changes His Profession","Adventure, Comedy, Sci-Fi",8.2,18882,1973
tt0117293,"Paradise Lost: The Child Murders at Robin Hood Hills","Crime, Documentary",8.2,18495,1996
tt0100332,"Paris Is Burning",Documentary,8.2,18426,1990
tt7019942,"Super Deluxe","Comedy, Crime, Drama",8.2,18176,2019
tt25433734,"Hi Nanna","Drama, Family, Romance",8.2,18027,2023
tt5460658,"Life and a Day",Drama,8.2,17991,2016
tt2181831,Shahid,"Biography, Drama",8.2,17947,2012
tt0048452,Ordet,Drama,8.2,17791,1955
tt0081059,"Lion of the Desert","Biography, Drama, History",8.2,17756,1980
tt0422320,Ghilli,"Action, Drama, Romance",8.2,17721,2004
tt0050371,"A Face in the Crowd","Drama, Music",8.2,17618,1957
tt7060460,"Theeran Adhigaram Ondru","Action, Crime, Thriller",8.2,17459,2017
tt6380520,"Dhuruvangal Pathinaaru","Crime, Drama, Mystery",8.2,17234,2016
tt2218988,"Ustad Hotel","Comedy, Drama",8.2,17068,2012
tt0048956,Aparajito,Drama,8.2,16393,1956
tt0471571,Athadu,"Action, Crime, Drama",8.2,15324,2005
tt0023042,"I Am a Fugitive from a Chain Gang","Crime, Drama, Film-Noir",8.2,14745,1932
tt1180583,"Vaaranam Aayiram","Action, Drama, Musical",8.2,14663,2008
tt9500372,"Pocket Hercules: Naim Süleymanoglu","Biography, Drama, History",8.2,14387,2019
tt3569782,Jigarthanda,"Comedy, Crime, Drama",8.2,13869,2014
tt9124428,Champion,"Biography, Drama, Romance",8.2,13448,2018
tt0101985,"A Brighter Summer Day","Crime, Drama, Romance",8.2,13346,1991
tt0056512,"The Easy Life","Comedy, Drama",8.2,12987,1962
tt0111341,Satantango,Drama,8.2,12905,1994
tt0052600,"Ballad of a Soldier","Drama, Romance, War",8.2,11558,1959
tt0058604,"I Am Cuba",Drama,8.2,11056,1964
tt0076727,"Office Romance","Comedy, Drama, Romance",8.2,10642,1977
tt0075404,"The Ascent","Drama, War",8.2,10501,1977
tt0843326,Bommarillu,"Comedy, Drama, Romance",8.2,10277,2006
tt3153634,Hope,Drama,8.2,10164,2013
tt0325980,"Pirates of the Caribbean: The Curse of the Black Pearl","Action, Adventure, Fantasy",8.1,1234962,2003
tt0434409,"V for Vendetta","Action, Drama, Sci-Fi",8.1,1194553,2005
tt1392190,"Mad Max: Fury Road","Action, Adventure, Sci-Fi",8.1,1135210,2015
tt0264464,"Catch Me If You Can","Biography, Crime, Drama",8.1,1125422,2002
tt2267998,"Gone Girl","Drama, Mystery, Thriller",8.1,1091545,2014
tt0198781,"Monsters, Inc.","Adventure, Animation, Comedy",8.1,1001437,2001
tt1201607,"Harry Potter and the Deathly Hallows: Part 2","Adventure, Family, Fantasy",8.1,968507,2011
tt0088247,"The Terminator","Action, Adventure, Sci-Fi",8.1,943192,1984
tt2278388,"The Grand Budapest Hotel","Adventure, Comedy, Crime",8.1,903906,2014
tt0118715,"The Big Lebowski","Comedy, Crime",8.1,873731,1998
tt3315342,Logan,"Action, Drama, Sci-Fi",8.1,864469,2017
tt0382932,Ratatouille,"Adventure, Animation, Comedy",8.1,852245,2007
tt0083658,"Blade Runner","Action, Drama, Sci-Fi",8.1,836836,1982
